No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,Kategori_TEMP
1,2013,3,1,0,6.0,18.0,5.0,,800.0,88.0,0.1,1021.1,-18.6,0.0,NW,4.4,Gucheng,Dingin
2,2013,3,1,1,6.0,15.0,5.0,,800.0,88.0,-0.3,1021.5,-19.0,0.0,NW,4.0,Gucheng,Dingin
3,2013,3,1,2,5.0,18.0,,,700.0,52.0,-0.7,1021.5,-19.8,0.0,WNW,4.6,Gucheng,Dingin
4,2013,3,1,3,6.0,20.0,6.0,,,,-1.0,1022.7,-21.2,0.0,W,2.8,Gucheng,Dingin
5,2013,3,1,4,5.0,17.0,5.0,,600.0,73.0,-1.3,1023.0,-21.4,0.0,WNW,3.6,Gucheng,Dingin
6,2013,3,1,5,4.0,11.0,3.0,,700.0,87.0,-1.8,1023.6,-21.9,0.0,E,1.2,Gucheng,Dingin
7,2013,3,1,6,3.0,6.0,3.0,,700.0,92.0,-2.6,1024.3,-20.4,0.0,ENE,1.2,Gucheng,Dingin
8,2013,3,1,7,5.0,5.0,3.0,,800.0,86.0,-0.9,1025.6,-20.5,0.0,ENE,1.1,Gucheng,Dingin
9,2013,3,1,8,5.0,9.0,5.0,,900.0,81.0,0.1,1026.1,-20.3,0.0,ENE,3.0,Gucheng,Dingin
10,2013,3,1,9,4.0,10.0,6.0,,900.0,82.0,1.1,1026.1,-20.6,0.0,NE,2.8,Gucheng,Dingin
11,2013,3,1,10,7.0,8.0,8.0,,900.0,82.0,1.9,1026.1,-21.3,0.0,ENE,3.0,Gucheng,Dingin
12,2013,3,1,11,3.0,6.0,8.0,,800.0,85.0,3.3,1026.1,-20.9,0.0,ENE,3.2,Gucheng,Dingin
13,2013,3,1,12,9.0,10.0,8.0,,800.0,86.0,4.1,1025.1,-20.3,0.0,ENE,3.2,Gucheng,Dingin
14,2013,3,1,13,10.0,19.0,9.0,,900.0,86.0,5.3,1024.1,-20.1,0.0,NE,2.7,Gucheng,Dingin
15,2013,3,1,14,13.0,20.0,8.0,,800.0,88.0,5.5,1023.8,-20.0,0.0,NE,2.1,Gucheng,Dingin
16,2013,3,1,15,13.0,16.0,8.0,,800.0,90.0,6.3,1023.5,-19.3,0.0,ENE,2.7,Gucheng,Dingin
17,2013,3,1,16,11.0,22.0,6.0,,800.0,90.0,5.9,1023.6,-18.8,0.0,ENE,1.8,Gucheng,Dingin
18,2013,3,1,17,10.0,20.0,4.0,,800.0,87.0,5.1,1024.2,-18.7,0.0,WNW,1.0,Gucheng,Dingin
19,2013,3,1,18,11.0,20.0,6.0,,900.0,80.0,3.7,1025.3,-19.2,0.0,E,1.6,Gucheng,Dingin
20,2013,3,1,19,11.0,31.0,8.0,,1000.0,69.0,2.7,1026.1,-19.3,0.0,E,1.7,Gucheng,Dingin
21,2013,3,1,20,13.0,25.0,12.0,5.0,1100.0,61.0,1.6,1027.1,-18.4,0.0,ESE,1.9,Gucheng,Dingin
22,2013,3,1,21,15.0,23.0,14.0,13.0,1200.0,52.0,1.0,1028.1,-17.4,0.0,SSE,0.7,Gucheng,Dingin
23,2013,3,1,22,16.0,28.0,16.0,19.0,1200.0,45.0,1.3,1028.4,-17.6,0.0,E,1.0,Gucheng,Dingin
24,2013,3,1,23,16.0,28.0,14.0,20.0,1100.0,44.0,0.2,1028.6,-17.6,0.0,ESE,1.1,Gucheng,Dingin
25,2013,3,2,0,14.0,18.0,24.0,43.0,1399.0,25.0,-0.3,1028.9,-18.0,0.0,ENE,1.4,Gucheng,Dingin
26,2013,3,2,1,18.0,39.0,25.0,28.0,1300.0,37.0,-0.7,1029.2,-17.9,0.0,E,1.0,Gucheng,Dingin
27,2013,3,2,2,19.0,29.0,30.0,13.0,1100.0,47.0,-0.8,1028.8,-18.0,0.0,ENE,1.4,Gucheng,Dingin
28,2013,3,2,3,15.0,24.0,20.0,12.0,1000.0,46.0,-1.2,1028.6,-17.9,0.0,ENE,1.1,Gucheng,Dingin
29,2013,3,2,4,13.0,16.0,21.0,24.0,1200.0,37.0,-1.3,1028.7,-18.9,0.0,NE,1.1,Gucheng,Dingin
30,2013,3,2,5,12.0,23.0,26.0,11.0,1200.0,50.0,-1.3,1028.0,-18.4,0.0,ENE,1.4,Gucheng,Dingin
31,2013,3,2,6,12.0,12.0,18.0,,1000.0,62.0,-1.6,1027.5,-18.6,0.0,ENE,0.7,Gucheng,Dingin
32,2013,3,2,7,3.0,6.0,19.0,11.0,1100.0,52.0,-1.3,1028.0,-17.9,0.0,ESE,0.6,Gucheng,Dingin
33,2013,3,2,8,3.0,9.0,22.0,15.0,1200.0,51.0,-0.6,1027.7,-17.8,0.0,NNE,0.9,Gucheng,Dingin
34,2013,3,2,9,10.0,15.0,30.0,27.0,1200.0,42.0,0.3,1027.8,-17.5,0.0,SW,0.7,Gucheng,Dingin
35,2013,3,2,10,15.0,17.0,34.0,45.0,1300.0,30.0,1.7,1027.2,-17.3,0.0,SW,1.9,Gucheng,Dingin
36,2013,3,2,11,20.0,31.0,27.0,45.0,1399.0,31.0,2.5,1026.4,-17.1,0.0,SSW,2.0,Gucheng,Dingin
37,2013,3,2,12,26.0,36.0,26.0,23.0,1200.0,49.0,3.1,1025.1,-17.2,0.0,SSW,2.2,Gucheng,Dingin
38,2013,3,2,13,31.0,43.0,23.0,6.0,1100.0,65.0,3.5,1023.7,-17.4,0.0,SSE,1.2,Gucheng,Dingin
39,2013,3,2,14,32.0,36.0,26.0,12.0,1200.0,62.0,3.7,1022.9,-16.7,0.0,SSE,1.1,Gucheng,Dingin
40,2013,3,2,15,36.0,37.0,40.0,22.0,1600.0,59.0,3.8,1022.3,-16.0,0.0,SSE,1.2,Gucheng,Dingin
41,2013,3,2,16,47.0,66.0,47.0,30.0,1600.0,55.0,3.6,1021.7,-15.1,0.0,S,1.4,Gucheng,Dingin
42,2013,3,2,17,59.0,80.0,50.0,32.0,1500.0,51.0,3.2,1021.6,-14.5,0.0,SSE,1.4,Gucheng,Dingin
43,2013,3,2,18,63.0,88.0,50.0,36.0,1600.0,50.0,2.8,1021.2,-13.9,0.0,S,0.6,Gucheng,Dingin
44,2013,3,2,19,70.0,102.0,62.0,62.0,1899.0,26.0,1.4,1021.1,-13.5,0.0,E,0.7,Gucheng,Dingin
45,2013,3,2,20,86.0,125.0,66.0,89.0,2100.0,6.0,1.4,1021.1,-14.7,0.0,E,0.9,Gucheng,Dingin
